"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","JLCPCB Part #"
"J1","1","Conn_01x14","","","","C5884434"
"D2","1","RED","","","","C434445"
"C5,C8,C11,C14,C23,C24,C25,C26,C35,C36,C37,C38,C47,C48,C49,C50","16","2.2uF","","","","C170151"
"U1,U2","2","TCA9548APWR","","","","C130026"
"R13","1","1k","","","","C106235"
"R1,R2,R3,R4,R14,R15,R17,R18,R20,R21,R23,R24,R26,R27,R28,R29,R30,R31,R32,R33,R38,R39,R40,R41,R42,R43,R44,R45,R50,R51,R52,R53,R54,R55,R56,R57","36","4.7k","","","","C105871"
"R5,R6,R7,R8,R9,R10,R11,R12,R16,R19,R22,R25,R34,R35,R36,R37,R46,R47,R48,R49,R58,R59,R60,R61","24","10k","","","","C60490"
"C4,C7,C10,C13,C19,C20,C21,C22,C31,C32,C33,C34,C43,C44,C45,C46","16","10nF","","","","C15195"
"C1,C2,C3,C6,C9,C12,C15,C16,C17,C18,C27,C28,C29,C30,C39,C40,C41,C42","18","100nF","","","","C1525"
"U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18","16","ICM-42688-P","","","",""
"TP3,TP4,TP5,TP6,TP7,TP8,TP9","7","TestPoint","","","",""
"H1,H2,H3,H4","4","MountingHole","","","",""
