Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C15, C16, C17, C18, C2, C27, C28, C29, C3, C30, C39, C40, C41, C42, C6, C9",0603,18,100nF,C1591
"C10, C13, C19, C20, C21, C22, C31, C32, C33, C34, C4, C43, C44, C45, C46, C7",0603,16,10nF,C1589
"C11, C14, C23, C24, C25, C26, C35, C36, C37, C38, C47, C48, C49, C5, C50, C8",0603,16,2.2uF,C23630
D2,0603,1,RED,C965799
"H1, H2, H3, H4",MountingHole_2.2mm_M2,4,MountingHole,
J1,1.25-12P WT,1,Conn_01x14,
"R1, R14, R15, R17, R18, R2, R20, R21, R23, R24, R26, R27, R28, R29, R3, R30, R31, R32, R33, R38, R39, R4, R40, R41, R42, R43, R44, R45, R50, R51, R52, R53, R54, R55, R56, R57",0603,36,4.7k,C99782
"R10, R11, R12, R16, R19, R22, R25, R34, R35, R36, R37, R46, R47, R48, R49, R58, R59, R60, R61, R62, R63, R7, R8, R9",0603,24,10k,C98220
R13,0603,1,1k,C22548
"TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.5mm,7,TestPoint,
"U1, U2",TSSOP24_1.2mm,2,TCA9548APWR,C130026
"U10, U11, U12, U13, U14, U15, U16, U17, U18, U3, U4, U5, U6, U7, U8, U9",PQFN50P300X250X97,16,ICM-42688-P,C1850418
