Designator,Mid X,Mid Y,Rotation,Layer
C1,193.4,-89.7,180.0,bottom
C10,188.75,-101.9,90.0,top
C11,188.75,-101.9,90.0,bottom
C12,186.36,-111.5,0.0,top
C13,188.8,-108.85,90.0,top
C14,188.8,-108.85,90.0,bottom
C15,193.4,-111.47,0.0,top
C16,193.4,-104.57,0.0,top
C17,193.4,-88.45,0.0,top
C18,193.37,-81.61,0.0,top
C19,195.8,-108.85,90.0,top
C2,216.45,-89.6,180.0,bottom
C20,195.8,-101.9,90.0,top
C21,195.8,-85.85,90.0,top
C22,195.8,-78.85,90.0,top
C23,195.8,-108.85,90.0,bottom
C24,195.8,-101.9,90.0,bottom
C25,195.8,-85.85,90.0,bottom
C26,195.8,-78.85,90.0,bottom
C27,209.4375,-81.65,0.0,top
C28,209.41,-88.44,0.0,top
C29,209.4,-104.6,0.0,top
C3,186.36,-81.59,0.0,top
C30,216.4875,-111.45,0.0,top
C31,211.85,-78.9,90.0,top
C32,211.85,-85.85,90.0,top
C33,211.85,-101.95,90.0,top
C34,218.95,-108.9,90.0,top
C35,211.85,-78.9,90.0,bottom
C36,211.85,-85.85,90.0,bottom
C37,211.85,-101.95,90.0,bottom
C38,218.95,-108.9,90.0,bottom
C39,216.45,-104.6,0.0,top
C4,188.8,-78.85,90.0,top
C40,209.45,-111.45,0.0,top
C41,216.5,-88.45,0.0,top
C42,216.45,-81.65,0.0,top
C43,218.95,-101.95,90.0,top
C44,211.85,-108.9125,90.0,top
C45,219.0,-85.85,90.0,top
C46,219.0,-78.9,90.0,top
C47,218.95,-101.95,90.0,bottom
C48,211.85,-108.9125,90.0,bottom
C49,219.0,-85.85,90.0,bottom
C5,188.8,-78.85,90.0,bottom
C50,219.0,-78.9,90.0,bottom
C6,186.39,-88.45,0.0,top
C7,188.8,-85.85,90.0,top
C8,188.8,-85.85,90.0,bottom
C9,186.4,-104.55,0.0,top
D2,214.7,-74.0,270.0,top
J1,208.03,-74.53,180.0,top
R1,199.56,-86.9,180.0,top
R10,214.75,-97.7,270.0,bottom
R11,211.67,-97.7,270.0,bottom
R12,213.2,-97.7,270.0,bottom
R13,216.4,-74.0,270.0,top
R14,180.12,-89.97,0.0,top
R15,180.12,-88.45,0.0,top
R16,183.47,-80.67,270.0,top
R17,180.12,-93.02,0.0,top
R18,180.12,-91.5,0.0,top
R19,183.4,-87.6,270.0,top
R2,199.56,-88.45,180.0,top
R20,180.11,-96.08,0.0,top
R21,180.11,-94.55,0.0,top
R22,183.5,-103.6,270.0,top
R23,180.11,-99.14,0.0,top
R24,180.11,-97.61,0.0,top
R25,183.5,-110.55,270.0,top
R26,199.53,-99.14,180.0,top
R27,199.52,-100.66,180.0,top
R28,199.54,-96.08,180.0,top
R29,199.53,-97.61,180.0,top
R3,203.07,-86.88,0.0,top
R30,199.54,-93.03,180.0,top
R31,199.53,-94.56,180.0,top
R32,199.55,-89.99,180.0,top
R33,199.55,-91.51,180.0,top
R34,190.48,-110.52,270.0,top
R35,190.5,-103.65,270.0,top
R36,190.44,-87.59,270.0,top
R37,190.5,-80.66,270.0,top
R38,203.07,-91.49,0.0,top
R39,203.07,-89.97,0.0,top
R4,203.08,-88.41,0.0,top
R40,203.07,-94.53,0.0,top
R41,203.07,-93.01,0.0,top
R42,203.07,-97.57,0.0,top
R43,203.07,-96.05,0.0,top
R44,203.07,-100.61,0.0,top
R45,203.08,-99.09,0.0,top
R46,206.5,-80.65,270.0,top
R47,206.42,-87.38,270.0,top
R48,206.5,-103.7,270.0,top
R49,206.45,-110.6,270.0,top
R50,221.8,-98.21,180.0,top
R51,221.8125,-99.73,180.0,top
R52,221.7925,-95.17,180.0,top
R53,221.7925,-96.69,180.0,top
R54,221.8,-92.12,180.0,top
R55,221.8025,-93.64,180.0,top
R56,221.8,-89.08,180.0,top
R57,221.8025,-90.6,180.0,top
R58,213.5,-110.6,270.0,top
R59,213.5,-103.7,270.0,top
R60,213.5,-87.5,270.0,top
R61,213.5,-80.7,270.0,top
R62,187.3,-97.65,90.0,bottom
R63,210.15,-97.7,90.0,bottom
R7,191.91,-97.64,270.0,bottom
R8,188.85,-97.65,270.0,bottom
R9,190.38,-97.65,270.0,bottom
U1,190.0,-93.8,0.0,top
U10,193.0,-79.0,0.0,top
U11,209.0,-79.0,0.0,top
U12,209.0,-86.0,0.0,top
U13,209.0,-102.0,0.0,top
U14,209.0,-109.0,0.0,top
U15,216.0,-109.0,0.0,top
U16,216.0,-102.0,0.0,top
U17,216.0,-86.0,0.0,top
U18,216.0,-79.0,0.0,top
U2,212.95,-93.7,0.0,top
U3,186.0,-79.0,0.0,top
U4,186.0,-86.0,0.0,top
U5,186.0,-102.0,0.0,top
U6,186.0,-109.0,0.0,top
U7,193.0,-109.0,0.0,top
U8,193.0,-102.0,0.0,top
U9,193.0,-86.0,0.0,top
